"zone","state","sector","lga","ea","hhid","qa_type","dist_road2","dist_popcenter2","dist_market","dist_border2","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","afmnslp_pct","srtm_nga","twi_nga","srtm_nga_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2012_tot","h2012_wetQ","h2012_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2012_eviarea","h2012_evimax","h2012_grn","h2012_sen","LAT_DD_MOD","LON_DD_MOD","distY1Y2"
4,1,1,115,670,10001,1,0.9,3.74,48.55,532.72,4.85,260,246,2157,323,907,38,30,313,6.59,141,16,4,3,2,1,1,1,1,1,1901,890,16,1788,760,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.53545594433,7.53153560163,
4,1,1,115,670,10002,1,0.99,3.71,48.64,532.7,4.83,260,246,2157,323,907,40,30,313,6.59,142,13,4,3,2,1,1,1,1,1,1901,890,16,1788,760,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.53545594433,7.53153560163,
4,1,1,115,670,10003,1,0.89,3.77,48.55,532.76,4.89,260,246,2157,323,907,38,30,313,6.59,141,16,4,3,2,1,1,1,1,1,1901,890,16,1788,760,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.53545594433,7.53153560163,
4,1,1,115,670,10004,1,0.81,3.83,48.47,532.8,4.94,260,246,2157,323,907,39,30,313,6.59,145,13,4,3,2,1,1,1,1,1,1901,890,16,1787,760,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.53545594433,7.53153560163,
4,1,1,115,670,10005,1,1.85,3.72,44.91,529.88,3.94,259,246,2169,325,912,28,20,313,3.6,163,12,4,3,2,1,1,1,1,1,1894,886,16,1783,764,18,38.3,0.494,103,335,43.6,0.4843,106,339,5.53545594433,7.53153560163,
4,1,1,115,670,10006,2,0.83,3.72,48.48,532.7,4.83,260,246,2157,323,907,38,30,313,6.59,141,12,4,3,2,1,1,1,1,1,1901,890,16,1788,760,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.53545594433,7.53153560163,
4,1,1,115,670,10008,1,0.95,3.87,48.62,532.86,4.99,260,246,2157,323,907,39,30,313,6.59,145,16,4,3,2,1,1,1,1,1,1901,890,16,1788,760,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.53545594433,7.53153560163,
4,1,1,115,670,10009,2,0.83,3.72,48.48,532.7,4.83,260,246,2157,323,907,38,30,313,6.59,141,12,4,3,2,1,1,1,1,1,1901,890,16,1788,760,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.53545594433,7.53153560163,
4,1,1,115,670,10010,1,0.83,3.72,48.48,532.7,4.83,260,246,2157,323,907,38,30,313,6.59,141,12,4,3,2,1,1,1,1,1,1901,890,16,1788,760,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.53545594433,7.53153560163,
4,1,2,104,1364,10011,1,0.02,0.18,57.57,543.7,17.04,264,250,2140,320,902,30,30,313,8.78,134,13,4,3,2,1,1,1,1,1,1928,910,17,1808,753,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.55555406781,7.611029751,
4,1,2,104,1364,10012,2,0.05,0.26,57.62,543.77,17.12,264,250,2140,320,902,30,30,313,8.78,137,13,4,3,2,1,1,1,1,1,1928,910,17,1808,753,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.55555406781,7.611029751,
4,1,2,104,1364,10013,1,0.04,0.23,57.61,543.74,17.09,264,250,2140,320,902,30,30,313,8.78,137,13,4,3,2,1,1,1,1,1,1928,910,17,1808,753,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.55555406781,7.611029751,
4,1,2,104,1364,10014,1,0.02,0.21,57.58,543.73,17.07,264,250,2140,320,902,32,30,313,8.78,137,13,4,3,2,1,1,1,1,1,1928,910,17,1808,753,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.55555406781,7.611029751,
4,1,2,104,1364,10015,2,0.05,0.26,57.62,543.77,17.12,264,250,2140,320,902,30,30,313,8.78,137,13,4,3,2,1,1,1,1,1,1928,910,17,1808,753,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.55555406781,7.611029751,
4,1,2,104,1364,10016,1,0,0.19,57.56,543.72,17.05,264,250,2140,320,902,32,30,313,8.78,137,13,4,3,2,1,1,1,1,1,1928,910,17,1808,753,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.55555406781,7.611029751,
4,1,2,104,1364,10017,1,0.07,0.24,57.63,543.74,17.1,264,250,2140,320,902,30,30,313,8.78,138,13,4,3,2,1,1,1,1,1,1928,910,17,1808,753,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.55555406781,7.611029751,
4,1,2,104,1364,10018,1,0.06,0.23,57.62,543.73,17.09,264,250,2140,320,902,30,30,313,8.78,138,13,4,3,2,1,1,1,1,1,1928,910,17,1808,753,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.55555406781,7.611029751,
4,1,2,104,1364,10019,1,0.05,0.22,57.61,543.73,17.08,264,250,2140,320,902,30,30,313,8.78,137,13,4,3,2,1,1,1,1,1,1928,910,17,1808,753,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.55555406781,7.611029751,
4,1,2,106,880,10021,2,4.79,24.61,24.26,524.27,24.18,261,248,2227,339,951,18,40,314,1.62,113,19,1,3,2,1,1,1,1,1,1885,871,16,1817,766,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.35086568605,7.40188916719,
4,1,2,106,880,10022,1,4.4,24.61,24.37,523.89,24.17,261,248,2219,338,949,6,40,313,1.83,116,13,1,3,2,1,1,1,1,1,1884,871,16,1817,766,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.35086568605,7.40188916719,
4,1,2,106,880,10023,2,4.79,24.61,24.26,524.27,24.18,261,248,2227,339,951,18,40,314,1.62,113,19,1,3,2,1,1,1,1,1,1885,871,16,1817,766,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.35086568605,7.40188916719,
4,1,2,106,880,10024,1,4.26,24.56,24.46,523.76,24.11,261,248,2219,338,949,6,40,313,1.83,115,13,1,3,2,1,1,1,1,1,1883,871,16,1817,766,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.35086568605,7.40188916719,
4,1,2,106,880,10025,61,4.77,24.6,24.28,524.26,24.17,261,248,2227,339,951,18,40,314,1.62,119,14,1,3,2,1,1,1,1,1,1885,872,16,1817,766,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.35086568605,7.40188916719,
4,1,2,106,880,10026,1,4.8,24.62,24.24,524.28,24.2,261,248,2227,339,951,18,40,314,1.62,113,19,1,3,2,1,1,1,1,1,1885,871,16,1817,766,17,38.3,0.494,103,335,43.6,0.4843,106,339,5.35086568605,7.40188916719,
