hhid,lat_dd_mod,lon_dd_mod,dist_road2,dist_popcenter2,dist_market,dist_border2,dist_admctr,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,popdensity,hybrid_V8,ssa_aez09,afmnslp_pct,srtm_1k,twi,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2018_tot,h2018_wetQ,h2018_wetQstart,qstartavg,ndvi_avg,ndvi_max,h2018_ndvi_avg,h2018_ndvi_max
10001,5.535455944,7.531535602,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54
10002,5.535455944,7.531535602,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54
10003,5.535455944,7.531535602,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54
10004,5.535455944,7.531535602,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54
10005,5.535455944,7.531535602,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54
10008,5.535455944,7.531535602,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54
10009,5.46540909,7.569493838,1.1,11.3,44.9,539,11.3,260,247,2183,326,914,1317,34,313,10,137,12,3,2,1,1,1,1,1,1791,826,18,2255,1066,16,26,0.301,0.399,0.399,0.497
10010,5.535455944,7.531535602,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54
10031,5.142032547,7.374716029,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222
10032,5.142032547,7.374716029,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222
10033,5.142032547,7.374716029,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222
10034,5.142032547,7.374716029,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222
10035,5.142032547,7.374716029,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222
10036,5.142032547,7.374716029,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222
10037,5.142032547,7.374716029,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222
10038,5.142032547,7.374716029,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222
10040,5.142032547,7.374716029,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222
